7917748 | Pseudomonas | drought stress | maize | reference.Pseudomonas induces drought tolerance in mung bean  reference and salt tolerance in cotton plants  reference.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance  reference. | NO
7917748 | Pseudomonas | drought tolerance | maize | reference.Pseudomonas induces drought tolerance in mung bean  reference and salt tolerance in cotton plants  reference.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance  reference. | NO
10145286 | Aspergillus aculeatus | salinity stress | Medicago truncatula | A growth-promoting fungus, Aspergillus aculeatus, increases salt-stress tolerance, metabolite activities, and fodder quality in perennial ryegrass  reference, while Trichoderma harzianum reduces salt stress in cucumber  reference, and Peyssonnelia indica reduces salinity stress in Medicago truncatula  reference. | NO
10986097 | Nostoc muscorum | salinity | Chlorella vulgaris | Biostimulants, especially those sourced from algal origins, reinforce plant robustness against abiotic challenges such as salinity  reference and drought  reference by Nostoc muscorum and Chlorella vulgaris extracts  reference,  reference while Spirulina platensis act as plant biostimulants due to its rich nutrient profile and stress-mitigating properties  reference,  reference. | NO
11176432 | Azospirillum | salt tolerance | rice | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels  reference, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length  reference. | NO
9866067 | Burkholderia phytofirmans | cold | Arabidopsis | Another example is the bacterium Burkholderia phytofirmans that makes the host plant resilient to multiple stressors, such as improving tolerance to cold in grapevine, heat in tomato, drought in wheat, and salt and freezing in Arabidopsis  reference, reference. | NO
8001772 | Bacillus amyloliquefaciens | salinity | tomato | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought  reference, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato  reference, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable  reference. | NO
7917748 | Pseudomonas | salt tolerance | mung bean | reference.Pseudomonas induces drought tolerance in mung bean  reference and salt tolerance in cotton plants  reference.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance  reference. | NO
9658302 | Streptomyces coelicolor | salt tolerance | rice | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  reference       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  reference. | NO
9658302 | Streptomyces olivaceus | salt tolerance | rice | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  reference       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  reference. | NO
9658302 | Streptomyces olivaceus | salt tolerance | wheat | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  reference       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  reference. | NO
9658302 | Streptomyces geysiriensis | salt tolerance | wheat | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain  reference       PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions  reference. | NO
9428627 | Glomus | drought | Solanum lycopersicum | Similar observations were noticed for MDA content in drought-stressed foxtail millet inoculated with Glomus  reference, as well as in Solanum lycopersicum and cucumber treated with various Bacillus strains under drought conditions  reference;  reference. | NO
9428627 | Glomus | drought | cucumber | Similar observations were noticed for MDA content in drought-stressed foxtail millet inoculated with Glomus  reference, as well as in Solanum lycopersicum and cucumber treated with various Bacillus strains under drought conditions  reference;  reference. | NO
9428627 | Bacillus | drought | foxtail millet | Similar observations were noticed for MDA content in drought-stressed foxtail millet inoculated with Glomus  reference, as well as in Solanum lycopersicum and cucumber treated with various Bacillus strains under drought conditions  reference;  reference. | NO
